Title,Release Date,Color/B&W,Genre,Language,Country,Rating,Lead Actor,Director Name,Lead Actor FB Likes,Cast FB Likes,Director FB Likes,Movie FB Likes,IMDb Score (1-10),Total Reviews,Duration (min),Gross Revenue,Budget
Brazil,17-02-1985,Color,Drama,English,UK,Over 18,Robert De Niro,Terry Gilliam,22000,29475,0,16000,8.0,230.0,142,9929000,15000000
Friday the 13th: A New Beginning,24-07-1985,Color,Horror,English,USA,Over 18,Tiffany Helm,Danny Steinmann,42,170,13,1000,4.7,160.0,92,21300000,2200000
Mad Max Beyond Thunderdome,04-11-1985,Color,Action,English,Australia,Teens,Tina Turner,George Miller,794,1529,750,0,6.2,117.0,107,36200000,12305523
Out of Africa,28-11-1985,Color,Biography,English,USA,Parental Guidance,Meryl Streep,Sydney Pollack,11000,12518,521,0,7.2,66.0,161,87100000,31000000
Pale Rider,22-01-1985,Color,Western,English,USA,Over 18,Clint Eastwood,Clint Eastwood,16000,17209,16000,0,7.3,38.0,115,41400000,6900000
Rambo: First Blood Part II,06-12-1985,Color,Action,English,USA,Over 18,Sylvester Stallone,George P. Cosmatos,13000,15662,170,0,6.4,96.0,96,150415432,44000000
Silverado,18-12-1985,Color,Action,English,USA,Teens,Scott Glenn,Lawrence Kasdan,826,1154,759,0,7.2,46.0,133,33200000,26000000
The Color Purple,14-07-1985,Color,Drama,English,USA,Teens,Oprah Winfrey,Steven Spielberg,852,2592,14000,6000,7.8,70.0,154,94175854,15000000
The Last Dragon,26-07-1985,Color,Action,English,USA,Teens,Mike Starr,Michael Schultz,854,3394,78,0,6.9,55.0,109,33000000,10000000
Witness,22-01-1985,Color,Crime,English,USA,Over 18,Harrison Ford,Peter Weir,11000,22479,608,0,7.4,83.0,112,65500000,12000000
Young Sherlock Holmes,18-05-1985,Color,Adventure,English,USA,Teens,Nicholas Rowe,Barry Levinson,155,605,272,0,6.8,64.0,109,4250320,18000000
9Â½ Weeks,18-03-1986,Color,Drama,English,USA,Over 18,David Margulies,Adrian Lyne,567,711,213,0,5.9,38.0,112,6734844,17000000
Aliens,26-07-1986,Color,Action,English,USA,Over 18,Michael Biehn,James Cameron,2000,4228,0,18000,8.4,250.0,154,85200000,18500000
April Fool's Day,07-09-1986,Color,Horror,English,USA,Over 18,Thomas F. Wilson,Fred Walton,690,1160,17,0,6.2,96.0,89,12947763,5000000
Big Trouble in Little China,27-05-1986,Color,Action,English,USA,Teens,Victor Wong,John Carpenter,400,896,0,19000,7.3,180.0,99,11100000,25000000
Crocodile Dundee,11-10-1986,Color,Adventure,English,Australia,Teens,Paul Hogan,Peter Faiman,442,822,4,0,6.5,35.0,93,174635000,8800000
Highlander,24-08-1986,Color,Action,English,UK,Over 18,Christopher Lambert,Russell Mulcahy,1000,1852,85,0,7.2,112.0,110,5900000,16000000
Howard the Duck,12-12-1986,Color,Action,English,USA,Parental Guidance,Lea Thompson,Willard Huyck,1000,3000,8,0,4.6,81.0,110,16295774,35000000
Invaders from Mars,08-09-1986,Color,Horror,English,USA,Parental Guidance,Louise Fletcher,Tobe Hooper,425,1661,365,902,5.5,52.0,100,4884663,12000000
Jason Lives: Friday the 13th Part VI,16-06-1986,Color,Horror,English,USA,Over 18,Tony Goldwyn,Tom McLoughlin,956,1862,41,0,5.9,158.0,86,19472057,3000000
Legal Eagles,08-08-1986,Color,Comedy,English,USA,Parental Guidance,Brian Dennehy,Ivan Reitman,954,2179,425,263,5.9,16.0,116,49851591,40000000
Little Shop of Horrors,01-03-1986,Color,Comedy,English,USA,Teens,Bill Murray,Frank Oz,13000,15308,0,0,6.9,63.0,102,38747385,25000000
Peggy Sue Got Married,30-11-1986,Color,Comedy,English,USA,Teens,Nicolas Cage,Francis Ford Coppola,12000,14672,0,0,6.3,44.0,103,41382841,18000000
Platoon,05-05-1986,Color,Drama,English,UK,Over 18,Johnny Depp,Oliver Stone,40000,42028,0,9000,8.1,120.0,120,137963328,6000000
River's Edge,08-08-1986,Black and White,Crime,English,USA,Over 18,Keanu Reeves,Tim Hunter,18000,19649,28,0,7.1,45.0,99,4600000,1900000
Shanghai Surprise,13-11-1986,Color,Adventure,English,UK,Teens,Victor Wong,Jim Goddard,400,805,3,154,3.0,21.0,97,2315683,17000000
She's Gotta Have It,24-01-1986,Black and White,Comedy,English,USA,Over 18,S. Epatha Merkerson,Spike Lee,539,708,0,406,6.5,26.0,88,7137502,175000
Stand by Me,26-04-1986,Color,Adventure,English,USA,Over 18,Marshall Bell,Rob Reiner,217,644,0,24000,8.1,99.0,89,52287414,8000000
Star Trek IV: The Voyage Home,02-08-1986,Color,Adventure,English,USA,Parental Guidance,Leonard Nimoy,Leonard Nimoy,12000,15449,12000,0,7.3,106.0,119,109713132,25000000
The Clan of the Cave Bear,05-04-1986,Color,Adventure,English,USA,Over 18,Curtis Armstrong,Michael Chapman,876,1351,70,843,5.3,21.0,98,1953732,15000000
The Color of Money,18-11-1986,Color,Drama,English,USA,Over 18,Tom Cruise,Martin Scorsese,10000,11895,17000,0,7.0,59.0,119,52293982,13800000
The Golden Child,16-05-1986,Color,Action,English,USA,Teens,Victor Wong,Michael Ritchie,400,1044,23,0,5.9,29.0,94,79817937,25000000
The Texas Chainsaw Massacre 2,20-12-1986,Color,Comedy,English,USA,Sexually Explicit,Bill Johnson,Tobe Hooper,237,302,365,0,5.5,159.0,101,8025872,4700000
The Wraith,27-12-1986,Color,Action,English,USA,Over 18,Clint Howard,Mike Marvin,1000,2319,28,0,5.9,70.0,93,3500000,2700000
Top Gun,17-10-1986,Color,Action,English,USA,Parental Guidance,Tom Cruise,Tony Scott,10000,13069,12000,19000,6.9,173.0,110,176781728,15000000
Witchboard,08-09-1986,Color,Horror,English,UK,Over 18,Kathleen Wilhoite,Kevin Tenney,265,901,85,0,5.7,65.0,98,7369373,2000000
3 Men and a Baby,10-07-1987,Color,Comedy,English,USA,Parental Guidance,Tom Selleck,Leonard Nimoy,19000,21499,12000,3000,5.9,21.0,102,167780960,11000000
A Nightmare on Elm Street 3: Dream Warriors,19-08-1987,Color,Action,English,USA,Sexually Explicit,John Saxon,Chuck Russell,506,1584,55,0,6.6,131.0,88,44793200,4500000
American Ninja 2: The Confrontation,16-06-1987,Color,Action,English,USA,Over 18,Michael Dudikoff,Sam Firstenberg,615,872,44,583,4.7,40.0,90,4000000,350000
Beverly Hills Cop II,01-07-1987,Color,Action,English,USA,Over 18,Dean Stockwell,Tony Scott,936,4121,12000,0,6.4,50.0,100,153665036,28000000
Creepshow 2,25-08-1987,Color,Comedy,English,USA,Over 18,George Kennedy,Michael Gornick,3000,3617,10,1000,6.0,95.0,85,14000000,3500000
Cry Freedom,14-08-1987,Color,Biography,English,UK,Parental Guidance,Denzel Washington,Richard Attenborough,18000,18855,0,0,7.5,17.0,147,5899797,29000000
Evil Dead II,06-04-1987,Color,Comedy,English,USA,Sexually Explicit,Ted Raimi,Sam Raimi,634,1347,0,0,7.8,252.0,37,5923044,3600000
Fatal Attraction,14-08-1987,Color,Drama,English,USA,Over 18,Fred Gwynne,Adrian Lyne,886,1639,213,3000,6.9,94.0,119,156645693,14000000
From a Whisper to a Scream,15-04-1987,Color,Action,English,USA,Over 18,Terry Kiser,Jeff Burr,448,1329,155,241,5.9,57.0,92,1400000,1100000
"Good Morning, Vietnam",22-03-1987,Color,Biography,English,USA,Over 18,Robin Williams,Barry Levinson,49000,50141,272,0,7.3,62.0,121,123922370,13000000
Hellraiser,18-04-1987,Color,Fantasy,English,UK,Over 18,Andrew Robinson,Clive Barker,266,673,385,0,7.0,203.0,86,14564027,1000000
Hollywood Shuffle,21-04-1987,Color,Comedy,English,USA,Over 18,Robert Townsend,Robert Townsend,467,1431,467,471,7.0,21.0,81,5228617,100000
Ishtar,16-03-1987,Color,Action,English,USA,Teens,Carol Kane,Elaine May,636,3374,124,754,4.2,49.0,107,14375181,51000000
Jaws: The Revenge,05-02-1987,Color,Adventure,English,USA,Teens,Judith Barsi,Joseph Sargent,912,2355,114,0,2.8,80.0,92,20763013,23000000
La Bamba,05-11-1987,Color,Biography,English,USA,Teens,Esai Morales,Luis Valdez,699,936,7,0,6.8,18.0,108,54215416,6500000
Malone,15-02-1987,Color,Action,English,USA,Over 18,Cliff Robertson,Harley Cokeliss,754,1891,4,208,5.6,27.0,92,3060858,10000000
Maurice,11-02-1987,Color,Drama,English,UK,Over 18,Rupert Graves,James Ivory,443,1269,133,963,7.8,29.0,140,3130592,2600000
Predator,22-09-1987,Color,Action,English,USA,Over 18,Shane Black,John McTiernan,1000,4223,323,13000,7.8,217.0,107,59735548,15000000
Prison,06-04-1987,Color,Crime,English,USA,Over 18,Viggo Mortensen,Renny Harlin,10000,11083,212,314,5.9,68.0,102,354704,1300000
Radio Days,22-07-1987,Color,Comedy,English,USA,Parental Guidance,Mike Starr,Woody Allen,854,1653,11000,0,7.6,64.0,88,14792779,16000000
Spaceballs,09-11-1987,Color,Adventure,English,USA,Parental Guidance,Joan Rivers,Mel Brooks,1000,2936,0,13000,7.1,103.0,96,38119483,22700000
Superman IV: The Quest for Peace,30-08-1987,Color,Action,English,UK,Parental Guidance,Jim Broadbent,Sidney J. Furie,1000,3007,22,1000,3.6,94.0,134,15681020,17000000
Teen Wolf Too,10-07-1987,Color,Comedy,English,USA,Parental Guidance,John Astin,Christopher Leitch,641,1389,4,491,3.2,29.0,95,7888703,3000000
The Barbarians,09-12-1987,Color,Adventure,English,USA,Over 18,Michael Berryman,Ruggero Deodato,721,1700,101,550,4.8,15.0,87,800000,4000000
The Last Emperor,09-11-1987,Color,Biography,English,China,Teens,Cary-Hiroyuki Tagawa,Bernardo Bertolucci,1000,2451,973,0,7.8,75.0,219,43984230,23000000
The Living Daylights,22-06-1987,Color,Action,English,UK,Parental Guidance,Joe Don Baker,John Glen,387,1233,46,0,6.7,105.0,130,51185897,30000000
The Princess Bride,17-07-1987,Color,Adventure,English,USA,Parental Guidance,Robin Wright,Rob Reiner,18000,20060,0,33000,8.1,185.0,98,30857814,16000000
The Running Man,29-03-1987,Color,Action,English,USA,Over 18,Yaphet Kotto,Paul Michael Glaser,581,2373,343,0,6.6,120.0,101,38122105,27000000
The Untouchables,15-10-1987,Color,Crime,English,USA,Over 18,Robert De Niro,Brian De Palma,22000,22767,0,0,7.9,123.0,119,76270454,25000000
Wall Street,03-04-1987,Color,Crime,English,USA,Over 18,Hal Holbrook,Oliver Stone,826,1607,0,0,7.4,114.0,126,43848100,15000000
A Nightmare on Elm Street 4: The Dream Master,01-01-1988,Color,Fantasy,English,USA,Over 18,Tuesday Knight,Renny Harlin,130,450,212,0,5.7,102.0,99,49369900,7000000
Action Jackson,09-07-1988,Color,Action,English,USA,Over 18,Bill Duke,Craig R. Baxley,1000,5282,22,978,5.2,35.0,96,20257000,7000000
Akira,14-12-1988,Color,Action,Japanese,Japan,Over 18,Mitsuo Iwata,Katsuhiro Ã”tomo,6,28,78,0,8.1,150.0,124,439162,1100000000
Beetlejuice,28-10-1988,Color,Comedy,English,USA,Parental Guidance,Catherine O'Hara,Tim Burton,925,1953,13000,15000,7.5,109.0,92,73326666,15000000
Big,11-05-1988,Color,Comedy,English,USA,Parental Guidance,Tom Hanks,Penny Marshall,15000,28018,545,0,7.3,99.0,130,114968774,18000000
Bloodsport,20-11-1988,Color,Action,English,USA,Over 18,Bolo Yeung,Newt Arnold,633,1168,15,0,6.8,61.0,92,11806119,1100000
"Bright Lights, Big City",21-05-1988,Color,Drama,English,USA,Over 18,Dianne Wiest,James Bridges,967,3067,21,377,5.6,28.0,107,16118077,25000000
Child's Play,10-06-1988,Color,Fantasy,English,USA,Over 18,Catherine Hicks,Tom Holland,311,760,85,0,6.5,142.0,87,33244684,9000000
Crocodile Dundee II,03-05-1988,Color,Action,English,Australia,Parental Guidance,Paul Hogan,John Cornell,442,717,5,489,5.5,32.0,108,109306210,15800000
Dangerous Liaisons,30-01-1988,Color,Drama,English,USA,Over 18,Keanu Reeves,Stephen Frears,18000,35501,350,0,7.7,51.0,119,34700000,14000000
Die Hard,03-08-1988,Color,Action,English,USA,Over 18,Alan Rickman,John McTiernan,25000,40585,323,25000,8.2,233.0,131,81350242,28000000
Friday the 13th Part VII: The New Blood,15-06-1988,Color,Horror,English,USA,Over 18,Kane Hodder,John Carl Buechler,935,1855,152,0,5.3,110.0,88,19170001,2800000
Halloween 4: The Return of Michael Myers,08-04-1988,Color,Horror,English,USA,Over 18,Donald Pleasence,Dwight H. Little,742,1136,27,0,5.9,144.0,88,17768000,5000000
Lady in White,08-05-1988,Color,Fantasy,English,USA,Over 18,Alex Rocco,Frank LaLoggia,968,2545,7,0,6.7,130.0,118,1705139,4700000
Midnight Run,30-07-1988,Color,Action,English,USA,Over 18,Robert De Niro,Martin Brest,22000,23866,102,0,7.6,77.0,126,38413606,30000000
My Stepmother Is an Alien,17-03-1988,Color,Comedy,English,USA,Teens,Jon Lovitz,Richard Benjamin,11000,14677,121,818,5.2,15.0,105,13854000,20000000
Mystic Pizza,29-06-1988,Color,Comedy,English,USA,Over 18,Julia Roberts,Donald Petrie,8000,10430,80,0,6.2,34.0,104,12793213,6000000
Phantasm II,26-03-1988,Color,Action,English,USA,Over 18,Angus Scrimm,Don Coscarelli,674,1395,152,812,6.5,81.0,97,7282851,3000000
Poltergeist III,28-11-1988,Color,Horror,English,USA,Teens,Tom Skerritt,Gary Sherman,1000,3827,17,616,4.5,66.0,98,14114488,10500000
Rain Man,25-07-1988,Color,Drama,English,USA,Over 18,Tom Cruise,Barry Levinson,10000,12285,272,12000,8.0,100.0,133,172825435,25000000
Rambo III,16-11-1988,Color,Action,English,USA,Over 18,Sylvester Stallone,Peter MacDonald,13000,14574,10,2000,5.7,84.0,87,53715611,63000000
School Daze,08-11-1988,Color,Comedy,English,USA,Over 18,Tisha Campbell-Martin,Spike Lee,413,1284,0,624,5.8,22.0,121,14545844,6500000
Scrooged,08-11-1988,Color,Comedy,English,USA,Teens,Bill Murray,Richard Donner,13000,18734,503,11000,7.0,88.0,101,60328558,32000000
Talk Radio,26-03-1988,Color,Drama,English,USA,Over 18,Michael Wincott,Oliver Stone,721,1966,0,816,7.3,40.0,110,3468572,4000000
The Land Before Time,22-02-1988,Color,Adventure,English,USA,General,Judith Barsi,Don Bluth,912,1833,383,5000,7.3,24.0,69,48092846,12500000
The Last Temptation of Christ,02-04-1988,Color,Drama,English,USA,Over 18,Irvin Kershner,Martin Scorsese,883,1934,17000,0,7.6,114.0,164,8373585,7000000
They Live,09-10-1988,Color,Horror,English,USA,Over 18,Meg Foster,John Carpenter,355,837,0,27000,7.3,172.0,93,13008928,4000000
Twins,02-12-1988,Color,Comedy,English,USA,Parental Guidance,Kelly Preston,Ivan Reitman,742,2151,425,0,6.0,27.0,107,111936400,15000000
Young Guns,25-06-1988,Color,Action,English,USA,Over 18,Jack Palance,Christopher Cain,549,1747,58,0,6.8,50.0,107,44726644,13000000
A Nightmare on Elm Street 5: The Dream Child,12-07-1989,Black and White,Fantasy,English,USA,Sexually Explicit,Lisa Wilcox,Stephen Hopkins,321,584,81,1000,5.1,88.0,89,22168359,8000000
Back to the Future Part II,09-07-1989,Color,Adventure,English,USA,Parental Guidance,Lea Thompson,Robert Zemeckis,1000,3660,0,12000,7.8,125.0,108,118500000,40000000
Batman,21-04-1989,Color,Action,English,USA,Teens,Michael Gough,Tim Burton,920,2725,13000,12000,7.6,186.0,126,251188924,35000000
Bill & Ted's Excellent Adventure,20-03-1989,Color,Adventure,English,USA,Parental Guidance,Keanu Reeves,Stephen Herek,18000,20795,65,0,6.9,81.0,90,40485039,10000000
Black Rain,09-10-1989,Color,Action,English,USA,Over 18,Stephen Root,Ridley Scott,939,1748,0,0,6.6,63.0,125,45645204,30000000
Born on the Fourth of July,12-02-1989,Color,Biography,English,USA,Over 18,Tom Cruise,Oliver Stone,10000,12098,0,4000,7.2,72.0,145,70001698,14000000
Dead Poets Society,04-01-1989,Color,Comedy,English,USA,Parental Guidance,Robin Williams,Peter Weir,49000,51609,608,23000,8.0,96.0,128,95860116,16400000
Do the Right Thing,20-10-1989,Color,Drama,English,USA,Over 18,Ruby Dee,Spike Lee,782,2892,0,0,7.9,103.0,120,27545445,6500000
Driving Miss Daisy,17-03-1989,Color,Comedy,English,USA,Parental Guidance,Morgan Freeman,Bruce Beresford,11000,12619,78,3000,7.4,61.0,99,106593296,7500000
Friday the 13th Part VIII: Jason Takes Manhattan,23-03-1989,Color,Adventure,English,USA,Over 18,Kane Hodder,Rob Hedden,935,1327,6,1000,4.5,129.0,100,14343976,5000000
Glory,23-05-1989,Color,Drama,English,USA,Over 18,Denzel Washington,Edward Zwick,18000,32930,380,0,7.9,60.0,122,26830000,18000000
Halloween 5,29-01-1989,Color,Horror,English,USA,Sexually Explicit,Donald Pleasence,Dominique Othenin-Girard,742,1308,2,926,5.2,137.0,96,11642254,3000000
Henry V,15-08-1989,Color,Action,English,UK,Teens,Brian Blessed,Kenneth Branagh,591,1341,0,0,7.7,46.0,137,10161099,9000000
Indiana Jones and the Last Crusade,18-05-1989,Color,Action,English,USA,Teens,Harrison Ford,Steven Spielberg,11000,12884,14000,0,8.3,149.0,127,197171806,48000000
Licence to Kill,17-11-1989,Color,Action,English,UK,Teens,Robert Davi,John Glen,683,2371,46,0,6.6,117.0,133,34667015,32000000
Major League,06-03-1989,Color,Comedy,English,USA,Over 18,Corbin Bernsen,David S. Ward,1000,3435,42,0,7.2,57.0,107,49797148,11000000
New York Stories,01-07-1989,Color,Comedy,English,USA,Parental Guidance,Woody Allen,Woody Allen,11000,12685,11000,877,6.4,42.0,124,10763469,15000000
Pet Sematary,04-06-1989,Color,Fantasy,English,USA,Over 18,Miko Hughes,Mary Lambert,969,2987,52,0,6.6,98.0,103,57469179,11500000
Road House,01-09-1989,Color,Action,English,USA,Over 18,Ben Gazzara,Rowdy Herrington,623,2484,9,0,6.5,83.0,114,30050028,17000000
Roger & Me,13-10-1989,Color,Documentary,English,USA,Over 18,Michael Moore,Michael Moore,909,1048,909,667,7.5,40.0,91,6706368,160000
Sea of Love,06-10-1989,Color,Crime,English,USA,Over 18,Al Pacino,Harold Becker,14000,15914,17,0,6.8,43.0,113,58571513,19000000
"Sex, Lies, and Videotape",06-09-1989,Color,Drama,English,USA,Over 18,Peter Gallagher,Steven Soderbergh,828,1431,0,2000,7.2,58.0,100,24741700,1200000
Star Trek V: The Final Frontier,28-02-1989,Color,Action,English,USA,Parental Guidance,Leonard Nimoy,William Shatner,12000,14710,0,0,5.4,98.0,107,55210049,27800000
Tango & Cash,23-04-1989,Color,Action,English,USA,Over 18,Sylvester Stallone,Andrey Konchalovskiy,13000,14432,96,0,6.3,45.0,97,63408614,55000000
The Abyss,16-03-1989,Color,Adventure,English,USA,Teens,Michael Biehn,James Cameron,2000,4074,0,0,7.6,82.0,171,54222000,69500000
The Blood of Heroes,06-01-1989,Color,Action,English,Australia,Over 18,Delroy Lindo,David Webb Peoples,848,1526,73,999,6.5,21.0,90,882290,10000000
The Toxic Avenger Part II,08-10-1989,Color,Action,English,USA,Over 18,Phoebe Legere,Michael Herz,40,99,6,321,5.1,49.0,96,792966,2300000
Troop Beverly Hills,29-03-1989,Color,Adventure,English,USA,Parental Guidance,Craig T. Nelson,Jeff Kanew,723,2368,6,0,5.5,11.0,105,8508843,18000000
UHF,30-03-1989,Color,Comedy,English,USA,Teens,Fran Drescher,Jay Levey,859,3942,3,0,7.0,59.0,150,6157157,5000000
Warlock,06-07-1989,Color,Action,English,USA,Over 18,Julian Sands,Steve Miner,687,1990,49,0,6.2,31.0,103,9094451,7000000
We're No Angels,28-07-1989,Color,Comedy,English,USA,Teens,Robert De Niro,Neil Jordan,22000,24887,277,855,6.0,20.0,106,10555348,20000000
When Harry Met Sally...,03-05-1989,Color,Comedy,English,USA,Over 18,Bruno Kirby,Rob Reiner,227,485,0,0,7.6,114.0,89,92823600,16000000
Arachnophobia,11-07-1990,Color,Comedy,English,USA,Teens,Julian Sands,Frank Marshall,687,1440,155,0,6.3,74.0,103,53133888,31000000
Back to the Future Part III,15-04-1990,Color,Adventure,English,USA,Parental Guidance,Lea Thompson,Robert Zemeckis,1000,3986,0,0,7.4,111.0,118,87666629,40000000
Child's Play 2,04-08-1990,Color,Fantasy,English,USA,Over 18,Jenny Agutter,John Lafia,659,2646,5,0,5.7,59.0,72,28501605,13000000
Dances with Wolves,30-09-1990,Color,Adventure,English,USA,Teens,Mary McDonnell,Kevin Costner,933,2398,0,0,8.0,92.0,236,184208848,22000000
Days of Thunder,02-02-1990,Color,Action,English,USA,Teens,Tom Cruise,Tony Scott,10000,14006,12000,0,5.9,60.0,107,82670733,60000000
Dick Tracy,03-12-1990,Color,Action,English,USA,Parental Guidance,Charlie Korsmo,Warren Beatty,678,2096,631,2000,6.1,72.0,105,103738726,100000000
Die Hard 2,15-10-1990,Color,Action,English,USA,Over 18,Bruce Willis,Renny Harlin,13000,16595,212,0,7.1,142.0,124,117541000,70000000
Edward Scissorhands,25-12-1990,Color,Fantasy,English,USA,Teens,Johnny Depp,Tim Burton,40000,42330,13000,16000,7.9,111.0,105,56362352,20000000
Flatliners,15-12-1990,Color,Drama,English,USA,Over 18,Julia Roberts,Joel Schumacher,8000,10493,541,0,6.6,49.0,115,61490000,26000000
Ghost,03-01-1990,Color,Drama,English,USA,Teens,Demi Moore,Jerry Zucker,2000,3100,109,0,7.0,77.0,127,217631306,22000000
Goodfellas,15-07-1990,Color,Biography,English,USA,Over 18,Robert De Niro,Martin Scorsese,22000,24783,17000,25000,8.7,192.0,146,46836394,25000000
Gremlins 2: The New Batch,20-06-1990,Color,Comedy,English,USA,Teens,Christopher Lee,Joe Dante,16000,19610,287,0,6.3,105.0,106,41482207,50000000
Home Alone,17-12-1990,Color,Comedy,English,USA,Parental Guidance,Macaulay Culkin,Chris Columbus,3000,7521,0,20000,7.5,102.0,103,285761243,18000000
Kindergarten Cop,04-12-1990,Color,Action,English,USA,Teens,Richard Tyson,Ivan Reitman,743,2403,425,0,6.0,46.0,111,91457688,26000000
